#,title ,Type,input,output,LLM,Category,2nd categ,Main strengths,Main weaknesses,dataset,ER,eval,result,code available,pipline method used,context aware,categ context,representation context,context usage in method detail text
14,Linguistic steganography: From symbolic space to semantic space,Steganography,Secret message (n-ary) → semantic vector (α) → conditional text generation model; stegotext (x) + semantic classifier model for extraction,,"CTRL (generation), BERT (semantic classifier)",,,"Symbol-free, efficient, imperceptible, accurate extraction, complements symbolic steganography","Classifier struggles with large n, higher loop count, semanteme text quality varies, orthogonality issues","5,000 CTRL-generated texts per semanteme (n = 2–16); 1,000 user-generated texts for anti-steganalysis",0.08,"Loop count, PPL, symbolic and BERT-based steganalysis",Classifier Accuracy: 0.9880; Loop Count: 1.0160; PPL: 13.9565; Anti-Steganalysis Accuracy: ~0.5,https://github.com/YangzlTHU/Linguistic-Steganography-and-Steganalysis/tree/master/Steganography/Linguistic-Semantic-Steganography,"Secret message → Semantic mapping → semanteme α (discrete space, log(n)-bit)
α → CTRL (Transformer) → stegotext x (conditional distribution pθ(x|α))
Stegotext x → BERT classifier → extracted semanteme α'
α' ≠ α → Rejection sampling → repeat generation until α' = α
Final stegotext → Bob decodes → secret message m'",implicit,Text,Semanteme (α) as a vector in semantic spac,"The semanteme (α) shapes the generated text to match a topic, ensuring it appears natural and blends into regular communication. This contextual alignment helps conceal the message and enables the classifier to recover it using the same semantic grounding."
15,Natural language steganography by chatgpt,Steganography,"Topic, keyword sets (subsets A, B...), stegomessage, strict rules",Synthetic stego covers; optionally bolded keywords + labels,,,,"Effective LLM-based stego text, natural concealment, scalable, supports prompt iteration","NL complexity, duplication, hallucinations, errors in long texts, statistical artifacts","Custom word sets for specific topics (e.g., 16×10-word sets for music reviews)",0.144,"Referenced: bits/word, KL divergence, entropy, accuracy, LSTM-CNN, RNN",,No,"Key Generator: Topic-specific word sets → labeled subsets (e.g., A, B) → no duplicates, single words only
Message → sequence of subset labels (stegosequence, e.g., ""AABBAABB"")
Embedder (ChatGPT 4.0): Stegosequence + topic + word sets → stego cover text",Explicit, Specific Genre/Topic Text,Text,"The system uses the topic as core context. The Key Generator builds keyword sets typical of the topic, and the Embedder ensures generated text appears natural and topic-appropriate. ChatGPT’s contextual capabilities maintain coherence while embedding messages seamlessly."
16,Natural language watermarking via paraphraser-based lexical substitution,Watermarking,"Source sentence (x₁...xₙ), watermark bit sequence (m), target word (xᵢ)","Watermarked sentence (x'), extracted bit sequence (m), word substitutions","Transformer (Paraphraser), BART (BARTScore), BERT (BLEURT, comparisons)",Paraphrase ,,"High meaning preservation, strong performance vs. BERT-based NLW, no annotated data needed, robust decoding, high text recoverability","Limited reversibility, hard for short texts, beam decoding limits substitution, lower capacity in some cases","ParaBank2, LS07, CoInCo, Novels, WikiText-2, IMDB, NgNews",0.22,"LS: SemEval 2007 (best, oot, P@1, GAP); NLW: Payload, Text Recoverability; No specific steganalysis models","LS07 P@1: 58.3, GAP: 65.1; CoInCo P@1: 62.6, GAP: 60.7; Text Recoverability: ~88–90%",Yes,"Original sentence → Paraphraser (Transformer) → paraphrases → extract substitute candidates for target word xi Novel decoding → force prefix x<i → predict vocabulary distribution for yi → top-K substitutes Substitutes → rank by Semantic Textual Similarity (BARTScore + BLEURT + prediction scores) → select best candidate Exchangeability test → ensure xi and yi are mutually interchangeable → form candidate set C = {c0, c1} Watermark bit (0/1) → replace xi with csignal from C → watermarked sentence x' Extraction → mirror embedding → generate C for x' → compare xi with c0/c1 → recover watermark bit",Explicit,,text,"ParaLS uses context to generate semantically appropriate substitutions. Decoder predictions begin with prefix words, and attention uses cumulative source weights. Semantic similarity scores rank substitutes, ensuring watermarked sentences retain meaning. Context ensures reproducibility of embedding and extraction through identical candidate sets."
17,Rewriting-Stego: generating natural and controllable steganographic text with pre-trained language model,Steganography,cover-text,stego-text,BART (bart-base2),Paraphrase,,"High capacity, naturalness, reduced vigilance, denoising, real-world efficiency","Similarity drops with high BPTS, may underperform in detection accuracy vs edit-based","Movie, News, Tweet",4,"BPTS, BPTC+S, PPL (GPT2-medium), Mean/Variance (BERT), Acc (fine-tuned BERT)","BPTS: 4.0, BPTC+S: 4.0, PPL: 62.1, Mean: 44.4, Variance: 2.1e04, Acc: 8.9%",https://github.com/cheslee15/Rewriting-Stego,"Cover text (Y) + Conditional Code → BART Encoder → encoded representation
Secret message (S) → bit stream → 2^n vocabulary groups, each with n-bit code
BART Decoder + Group-Wise Masked Decoding → mask non-aligned token probabilities → stego text (Y')
Beam search → K candidate stego texts
GPT2 → Perplexity (PPL) scoring → select lowest PPL candidate as final stego text",not Explicit,,,
18,ALiSa: Acrostic linguistic steganography based on BERT and Gibbs sampling,Steganography,"Token-level secret message, position key, and initial [MASK]-filled sequence",stego-text,"BERT (Google’s BERTBase, Uncased)",,,Simple,"Poor Quality, low cap","BookCorpus (10,000 natural texts for evaluation)",0.92,"Perplexity (PPL), Detection Accuracy (Acc), F1-score; LS-RNN, LS-BERT","PPL: Natural = 13.91, ALiSa = 14.85; LS-RNN/LS-BERT Acc & F1 = ~0.50; Outperforms GPT-AC/ADG in all cases",Yes (https://github.com/clearloveclearlove/Alisa),"Secret tokens → initialize stego text s with [MASK] tokens
Secret plaintext w → insert tokens at positions p in s
Remaining [MASK] tokens → BERT MLM → probability distribution
Gibbs sampling → sample tokens from conditional distribution → fill s
Iterate T times → refine non-secret positions → fluent stego text
BERT + Gibbs → low Perplexity (PPL) → high fluency
Conditional sampling → distribution mimics natural text → strong anti-steganalysis
Receiver → extract plaintext from positions p",No,,,
19,Prompting Steganography: A New Paradigm,Steganography,,,LLM,LSB,,,,,,,,,,,,,
20,RNN-Stega: Linguistic Steganography Based on Recurrent Neural Networks,Steganography,Secret bitstream; previously generated words; 800-dimensional word vectors,High-quality text covers containing hidden bitstreams,RNN (LSTM units),,,"High text quality, superior imperceptibility, high capacity (up to 20%), dynamic coding, efficient FLC","VLC slower, FLC lowers text quality, detectable by advanced models, concealment vs. capacity trade-off","VLC slower, FLC lowers text quality, detectable by advanced models, concealment vs. capacity trade-off",,,,,,,,,
21,Linguistic Steganography Based on Adaptive Probability Distribution,Steganography,"cover texts, data",stego-text,3-layer LSTM (800 hidden units per layer) as generator,,,,,"Sentiment140 (Twitter)
MSCOCO (captions)
IMDB (reviews)
350,000 training sentences",,"PPL, ER, EMD, Word Diversity, LS-CNN[14],
 TS-RNN[47],andR-BI-C[32]","Twitter BPW=28.12 ± 0.11
BPW=1 | 
PPL=28.12
EMD=1.2312
LS-CNN(F1)=0.6531
TS-RNN(F1)=0.6192
R-BI-C(F1)=0.6672
Word Diversity=2215",no,GAN-based: LSTM generator + CNN discriminator; policy gradient training with adaptive probability-based embedding,non-explicit,pre-text,text,
22,A novel method for linguistic steganography by English translation using attention mechanism and probability distribution theory,Steganography,"Source sentence (Chinese)
prior target words (English)",stego-text,NMT encoder-decoder ❌,,,,,,,,,,,,,,
23,PNG-Stega: Progressive Non-Autoregressive Generative Linguistic Steganography,Steganography,control-text -> YAKE (keywordset),stego-text,❌ Custom PNG,,,,,,,,,,,,,,
24,Semantic-Preserving Linguistic Steganography by Pivot Translation and Semantic-Aware Bins Coding,Steganography,,,❌ En2Ge2En,,,,,,,,,,,,,,
25,Topic-aware Neural Linguistic Steganography Based on Knowledge Graphs,Steganography,Secret message bitstream; Topic-specific graph,Steganographic text; Secret binary bitstream,No pre-trained LLM; uses Transformer encoder + LSTM decoder,"Neural, Linguistic, Knowledge Graph-based",,"Better concealment, topic control, high quality, high capacity, detection resilience, wide applicability",Text quality declines at high embedding rates; unique graph topics required for extraction,"AGENDA dataset (40K papers, 500 used for graph-text pairs)",,"BLEU, METEOR (topic); Perplexity (text quality); Text steganalysis (detection)",BLEU: 13.13; METEOR: 17.74; Perplexity: 52.23; F1-score: 0.681,No,"Uses Transformer-based encoder for topic graph and RNN decoder. Candidate words are selected based on predicted probabilities, encoded, and the secret bits choose which word is output.",Explicit,Topical (Scientific/Technical),Graph (converted to vectors),"Graph vectors guide decoder via attention and copy mechanisms, ensuring topic relevance. Keywords from received text help identify the original graph for message extraction."
26,Topic Controlled Steganography via Graph-to-Text Generation,Steganography,"prefix text, data",stego-text,"T5 model (Transformer, fine-tuned on WebNLG)",,,,,,,,,,,,,,
27,A Semantic Controllable Long Text Steganography Framework Based on LLM Prompt Engineering and Knowledge Graph,Steganography,,,,,,,,,,,,,,,,,
28,Reversible Linguistic Steganography With Bayesian Masked Language Modeling,Steganography,"prefix text, data",stego-text,,,,,,,,,,,,,,,
29,Arabic Text Steganography Based on Deep Learning Methods,,,,,,,,,,,,,,,,,,
30,Beyond Binary Classification: Customizable Text Watermark on Large Language Models,,,,,,,,,,,,,,,,,,
31,Controllable Semantic Linguistic Steganography via Summarization Generation,,,,,,,,,,,,,,,,,,
32,COSYWA: Enhancing Semantic Integrity in Watermarking Natural Language Generation,,,,,,,,,,,,,,,,,,
33,CPG-LS: Causal Perception Guided Linguistic Steganography,,,,,,,,,,,,,,,,,,
34,Enhancing Semantic Consistency in Linguistic Steganography via Denosing Auto-Encoder and Semantic-Constrained Huffman Coding,,,,,,,,,,,,,,,,,,
35,FREmax: A Simple Method Towards Truly Secure Generative Linguistic Steganography,,,,,,,,,,,,,,,,,,
36,Imperceptible Text Steganography based on Group Chat,,,,,,,,,,,,,,,,,,
37,LZW-CIE: a high-capacity linguistic steganography based on LZW char index encoding,,,,,,,,,,,,,,,,,,
38,Neural Linguistic Steganography with Controllable Security,,,,,,,,,,,,,,,,,,
39,"NLWM: A Robust, Efficient and High-Quality Watermark for Large Language Models",,,,,,,,,,,,,,,,,,
40,Robust and semantic-faithful post-hoc watermarking of text generated by black-box language models,,,,,,,,,,,,,,,,,,
41,Steganographic Text Generation Based on Large Language Models in Dialogue Scenarios,,,,,,,,,,,,,,,,,,
42,Robust Secret Data Hiding for Transformer-based Neural Machine Translation,,,,,,,,,,,,,,,,,,
